SSID,BSSID,Capabilities
MyCharterWiFic7-2G,04:a1:51:ba:e4:c7,[WPA2-PSK-CCMP][ESS]
belkin.b9c.media,b4:75:0e:20:8b:9e,[WPA2-PSK-CCMP][WPS][ESS]
ASHKANNETWORK-guest,4e:f8:b3:72:0a:70,[ESS]
Ali&KAF,10:0d:7f:60:66:82,[WPA2-PSK-CCMP][WPS][ESS]
SIMAMA,30:46:9a:89:81:43,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS]
2WIRE734,ac:5d:10:36:d7:e9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
HJ-Guest,92:c6:0a:12:40:70,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS]
theprettykitty,e0:46:9a:6f:34:65,[WPA2-PSK-CCMP][WPS][ESS]
Hairajuku,90:72:40:12:0a:c7,[WPA2-PSK-CCMP][ESS]
NETGEAR79,08:bd:43:b4:5c:b4,[WPA2-PSK-CCMP][WPS][ESS]
XWF76,00:26:62:e0:2e:7c,[WEP][ESS]
W0B05,00:26:62:80:5c:d5,[WEP][ESS]
LeonsWIFI,18:1b:eb:27:ee:80,[WPA2-PSK-CCMP][ESS]
NETGEAR84,04:a1:51:a7:33:57,[WPA2-PSK-CCMP][ESS]
ZYQK3,00:26:62:5b:a8:90,[WEP][ESS]
MyCharterWiFice-2G,08:bd:43:b2:dc:ce,[WPA2-PSK-CCMP][ESS]
NERDlink_5.0,84:1b:5e:eb:59:f0,[WPA2-PSK-CCMP][WPS][ESS]
NERDlink_2.4,84:1b:5e:eb:59:f1,[WPA2-PSK-CCMP][WPS][ESS]
NERDlink_TAP,08:bd:43:ad:e4:5e,[WPA2-PSK-CCMP][WPS][ESS]
inventory,9c:1c:12:56:f8:a0,[WPA2-PSK-CCMP][ESS]
NERDlink_2.4_ext_1,28:10:7b:22:17:b2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
NERD_VoIP,00:1d:7e:21:49:9d,[WEP][ESS]
Victoria Gardens WI-FI,00:18:0a:51:36:9f,[ESS]
NETGEAR20,28:c6:8e:ae:9b:12,[WPA2-PSK-CCMP][WPS][ESS]
T Home Network,92:b0:b3:12:40:71,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS]
MTA NET,90:72:40:12:b3:b0,[WPA2-PSK-CCMP][ESS]
Kings Fish House,00:17:c5:03:2c:f6,[ESS]
YYCW5,18:1b:eb:29:ce:ee,[WPA2-PSK-CCMP][ESS]
On Cue Wifi,6c:70:9f:df:b1:8c,[WPA2-PSK-CCMP][ESS]
Hops,00:3a:9a:b9:fd:51,[WPA2-EAP-CCMP][ESS]
DRI_vista,00:3a:9a:b9:fd:50,[WPA2-EAP-CCMP][ESS]
OAR18,00:03:52:de:11:10,[WPA-PSK-TKIP][ESS]
forestcity,00:11:5c:03:3a:41,[WPA-EAP-TKIP][WPA2-EAP-CCMP][ESS]
belkin.bb2,08:86:3b:37:ab:b2,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS]
HP-Print-EB-Officejet Pro 8600,9c:b6:54:55:b3:eb,[WPA2-PSK-CCMP][ESS]
linksy,00:25:9c:ce:0a:2d,[WPA-PSK-TKIP][WPS][ESS]
FreedomPop_e840,20:10:7a:df:4e:a0,[WPA2-PSK-CCMP][ESS]
YHGuest,00:3a:9a:bb:6b:93,[ESS]
VictoriaGardens,00:11:5c:03:3a:40,[ESS]
Google Starbucks,24:de:c6:64:9b:a8,[ESS]
VGCA-DW2,00:30:44:19:49:e4,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS]
Photo Kiosk WiFi,c4:6e:1f:8c:49:96,[WPA2-PSK-CCMP][WPS][ESS]
Verizon-MiFi5510L-2F23,00:15:ff:8d:2f:23,[WPA2-PSK-CCMP][ESS]
Horizon_Solar,78:cd:8e:05:7c:88,[WPA2-PSK-CCMP][ESS]
2755000,00:1a:1e:e3:72:6b,[WPA2-EAP-CCMP][ESS]
2755010,00:1a:1e:e3:72:69,[WPA2-EAP-CCMP][ESS]
SANTA_HOUSE,9c:ad:97:51:9b:7d,[WPA2-PSK-CCMP][ESS]
2755002,00:1a:1e:e3:72:6a,[WPA2-EAP-CCMP][ESS]
CPK,00:1a:1e:e3:72:68,[ESS]
ANRIAP,e0:91:f5:f4:9f:2b,[WPA2-PSK-CCMP][WPS][ESS]
JECSI_Int,b0:fa:eb:fe:9f:6f,[WPA2-EAP-CCMP-preauth][ESS]
ANRIAP5G,e0:91:f5:f4:9f:2a,[WPA2-PSK-CCMP][WPS][ESS]
BENANDJERRYS,00:26:f2:bc:ec:70,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
hpsetup,32:c1:de:7c:64:31,[IBSS]
TKRancho,ac:22:0b:91:71:1c,[WPA2-PSK-CCMP][ESS]
1809u,00:a0:f8:d5:a0:6d,[WPA-EAP-TKIP][WPA2-EAP-CCMP+TKIP][ESS]
Victoria Gardens WI-FI-scanning,00:18:0a:51:34:f8,[ESS]
Urban Guest WiFi,00:a0:f8:d5:a0:6e,[ESS]
eduroam,20:37:06:7c:e8:52,[WPA2-EAP-CCMP][ESS]
ucrwpa,20:37:06:7c:e8:51,[WPA2-EAP-CCMP][ESS]
