SSID,BSSID,Capabilities,frequency
YEEEE,20:aa:4b:a8:ce:30,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
NETGEAR19-5G,44:94:fc:3b:2b:ad,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi95-2G,c4:04:15:1f:80:95,[WPA2-PSK-CCMP][WPS][ESS],2437
2WIRE565,00:22:a4:8d:f4:09,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2422
MyCharterWiFi5b-5G,6c:b0:ce:43:a4:5a,[WPA2-PSK-CCMP][WPS][ESS],5765
2WIRE328,b8:e6:25:fb:a3:49,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2427
quietwhale,c0:3f:0e:67:4e:f4,[WPA2-PSK-CCMP][WPS][ESS],2437
2WIRE573,74:9d:dc:cf:cf:d9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2427
MyCharterWiFi64-2G,08:bd:43:c2:ee:64,[WPA2-PSK-CCMP][WPS][ESS],2442
CharterWiFie490,2c:b0:5d:e8:72:6f,[WPA2-PSK-CCMP][ESS],2412
Sugar Tits,00:11:95:79:d2:28,[WPA-PSK-TKIP][ESS],2437
Efcie_Wireless,e8:94:f6:a3:13:78,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2447
WiFiRSU_a6d5a,20:10:7a:e8:7b:81,[WPA2-PSK-CCMP][ESS],2452
Concealed Industries.media,b4:75:0e:24:41:58,[WPA2-PSK-CCMP][WPS][ESS],5220
CHARTERwifi,04:a1:51:81:8c:f9,[WPA2-PSK-CCMP][WPS][ESS],2442
NETGEAR12,44:94:fc:7f:5c:e6,[WPA2-PSK-CCMP][ESS],2447
belkin.586,08:86:3b:f1:55:86,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2442
MyCharterWiFi72-2G,6c:b0:ce:b4:dc:72,[WPA2-PSK-CCMP][WPS][ESS],2427
NETGEAR16,6c:b0:ce:3d:df:22,[WPA2-PSK-CCMP][WPS][ESS],2462
ATT939,60:fe:20:1c:3c:ca,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
NETGEAR22,04:a1:51:a2:e2:95,[WPA2-PSK-CCMP][WPS][ESS],2432
MyCharterWiFi72-5G,6c:b0:ce:b4:dc:71,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi5b-2G,6c:b0:ce:43:a4:5b,[WPA2-PSK-CCMP][WPS][ESS],2462
2WIRE668,94:c1:50:39:9c:e9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
NETGEAR03,04:a1:51:ab:6d:36,[WPA2-PSK-CCMP][ESS],2452
NETGEAR03-5G,04:a1:51:ab:6d:38,[WPA2-PSK-CCMP][WPS][ESS],5765
NETGEAR42,44:94:fc:8d:14:cb,[WPA2-PSK-CCMP][WPS][ESS],2437
NETGEAR95,84:1b:5e:39:29:ad,[WPA2-PSK-CCMP][WPS][ESS],2462
MyCharterWiFi73-2G,6c:b0:ce:b7:ad:73,[WPA2-PSK-CCMP][WPS][ESS],2462
